STORE;STORENAME;STORETYPE;CIUDAD;LOGISTICCENTER;Nombre
1643;Farmacia Prado Norte Barranquilla;FARMACIA;;;
1653;Farmacia Supermaz Apartado;FARMACIA;;;
1640;Farmacia CC Arrecifes Santa Marta;FARMACIA;;;
1658;Farmacia CC lasOlas Santa Marta;FARMACIA;;D405;
1663;Farmacia Sector Clinica Shaio;FARMACIA;;D410;
1657;Farmacia CC.La Libertad;FARMACIA;;D404;
1659;Farmacia CC Allegro;FARMACIA;;;
1305;Tienda Carpa Temporadas;FARMACIA;;;
1651;Farmacia Monterey;FARMACIA;;D398;
1654;Farmacia Clinica Panamericana;FARMACIA;;;
1666;Farmacia Llano centro;FARMACIA;;;
1670;Farmacia CC.Palmetto;FARMACIA;;;
1660;Drogueria Clinica del Mar;FARMACIA;;;
1667;Drogueria D_AV_CIRCUNVALAR_PEREIRA;FARMACIA;;;
1668;Drogueria D_PEREIRA_PLAZA;FARMACIA;;;
1307;Supermercado Anapoima;SUPERMERCADO;;S086;Supermercado Anapoima
1665;Farmacia C. Cial Bazaar;FARMACIA;;;
1669;DROG CIUDAD JARDIN;FARMACIA;;;
1664;DROG C.C. Al Paso;FARMACIA;;D411;
1675;DROG Centro Histórico Zipaquira;FARMACIA;;;
1644;Drogueria Coltejer de Medellin ;FARMACIA;;;
1676;Drogueria Palmas Mall ;FARMACIA;;;
1678;Drogueria Eco Plaza;FARMACIA;;;
1685;Drogueria Centenario Cali;FARMACIA;;;
1684;Farmacia Chipichape;FARMACIA;;D431;
1649;Drogueria SanJuan Plaza;FARMACIA;;;
1641;Drogueria C.C. San Fernando;FARMACIA;;;
1662;Drogueria C.C. Bahia;FARMACIA;;D409;
1310;Tienda Carpa Cra 30;FARMACIA;;;
1309;Supermercado Facatativa;SUPERMERCADO;;S088;Supermercado Facatativa
1690;Drogueria La Esmeralda;FARMACIA;;;
1687;Drogueria Complex Interplaza;FARMACIA;;;
1688;Drogueria Ciudad del Rio;FARMACIA;;;
1689;Drog Sabana Norte;FARMACIA;;;
7011;FARM.ECOMM.4900;FARMACIA;;;
7012;FARM.ECOMM.9670;FARMACIA;;;
7013;FARM.ECOMM.1358;FARMACIA;;;
7014;FARM.ECOMM.4100;FARMACIA;;;
7015;FARM.ECOMM.1402;FARMACIA;;;
7016;FARM.ECOMM.1415;FARMACIA;;;
7017;FARM.ECOMM.1285;FARMACIA;;;
1694;Drogueria Cosmocentro;FARMACIA;;;
1692;SF Fusagasuga AC ;FARMACIA;;;
1696;Drogueria Mall Vegas;FARMACIA;;;
1697;Drogueria Molinos ;FARMACIA;;;
1695;Drogueria Bosque Plaza;FARMACIA;;;
1308;Supermercado Icarus;SUPERMERCADO;;S087;Supermercado Icarus
1677;Drogueria Duitama Centro;FARMACIA;;D424;
1314;Supermercado Pereira Plaza;SUPERMERCADO;;S093;Supermercado Pereira Plaza
1317;Supermercado Cartago;SUPERMERCADO;;S095;Supermercado Cartago
1315;Supermercado La Hacienda;SUPERMERCADO;;S094;Supermercado La Hacienda
1312;Supermercado El poblado;SUPERMERCADO;;;
1313;Supermercado Miracali;SUPERMERCADO;;;
1318;Tienda Canales Virtuales;TIENDA;;;
1702;Drog. Gardel Plaza Medellin;FARMACIA;;D450;
1703;Drogueria Bello;FARMACIA;;D451;
1321;DROGUERIA VIVA VILLAVICENCIO;DROGUERIA;;;
1701;SF Colsubsidio Funza;FARMACIA;;;
1320;Supermercado Salitre;SUPERMERCADO;;S098;Supermercado Salitre
1708;SF Colsubsidio Roma;FARMACIA;;;
1709;SF Colsubsidio Calle 63;FARMACIA;;;
1704;DROGUERIA MIXTA HEROES;DROGUERIA;BOGOTA;;
1710;Drog CC Nao Fun- Cartagena;FARMACIA;;;
1711;SF Colsubsidio 1o de Mayo;FARMACIA;;;
1713;Drog CC Plaza de las Americas #2;FARMACIA;;;
1712;DROGUERIA CENTRO HISTORICO;DROGUERIA;CARTAGENA;;
1716;Drog CC Zazue Plaza - Sta Marta;FARMACIA;;;
1706;Drog Las Huertas-Cajica;FARMACIA;;;
1323;Tienda Gulf Ruta del Sol;TIENDA;;;
1700;Drog Acqua-Ibague;FARMACIA;;D448;
1319;Tienda Gulf Melgar;TIENDA;;;
1714;Drogueria Unicentro Palmira;DROGUERIA;;;
1719;Drogueria Chico;FARMACIA;;;
1720;SF Calle 97;FARMACIA;;;
1705;SF Colsubsidio Calle 100;FARMACIA;;;
1721;Drog. Ind.Unicentro;FARMACIA;;;
1727;DROG  HAYUELOS II;DROGUERIA;;;
1729;DROGUERIA USAQUEN 2;DROGUERIA;;D486;
1324;TIENDA BRICEÑO;TIENDA;;;
1736;DROGUERIA MIXTA INTEGRAL RIONEGRO;DROGUERIA;MEDELLIN;;
1733;DROG MAYALES PLAZA;DROGUERIA;;;
1746;FARM. FONTANAR;FARMACIA;;D503;
7018;TIENDA ECCOMERCE ALHAMBRA 8210;TIENDA;;;
7019;TIENDA ECCOMERCE CALLE 100 1395;TIENDA;;;
7020;TIENDA ECCOMERCE SAN PEDRO 1397;TIENDA;;;
7021;TIENDA ECCOMERCE CENTRO 1406;TIENDA;;;
7022;TIENDA ECCOMERCE PABLO SEXTO 1388;TIENDA;;;
7023;TIENDA ECCOMERCE CIUDADELA 7200;TIENDA;;;
7024;TIENDA ECCOMERCE FONTIBON 9660;TIENDA;;;
7025;TIENDA ECCOMERCE VILLA ALSACIA 1284;TIENDA;;;
7026;TIENDA ECCOMERCE PUNTO 72 1630;TIENDA;;;
7027;TIENDA ECCOMERCE AL PASO 1664;TIENDA;;;
1328;SUP. RESTREPO META;SUPERMERCADO;;S106;Supermercado Restrepo Meta
1327;SUP. VILLA DE LEYVA;SUPERMERCADO;;S105;Supermercado Villa De Leyva
1764;DROGUERIA RESTREPO META;DROGUERIA;;D522;
1781;DROGUERIA BUENOS AIRES;DROGUERIA;MEDELLIN;;
1797;DROGUERIA CAÑAVERAL;DROGUERIA;BUCARAMANGA;D554;
1782;DROGUERIA MAYORCA;DROGUERIA;BOGOTA;;
1753;DROGUERIA RIO DEL ESTE;DROGUERIA;MEDELLIN;;
1800;DROGUERIA MARINILLA;DROGUERIA;MEDELLIN;D557;
1760;DROGUERIA UNICENTRO GIRARDOT;DROGUERIA;GIRARDOT;;
1815;DROGUERIA CARMEN DE VIVORAL;DROGUERIA;MEDELLIN;D572;
1758;D_CLINICA_DEL_SUR_ENVIGADO;DROGUERIA;ENVIGADO;;
2005;Drogueria Ara Veracruz;DROGUERIA;BOGOTA;;
2006;Drogueria Ara Facatativa;DROGUERIA;FACATATIVA;;
2003;Drogueria Ara Restrepo;DROGUERIA;Bogota;;
2004;DROGUERIA ARA CHAPINERO;DROGUERIA;BOGOTA;;
2019;DROGUERIA ARA SOACHA SALITRE;DROGUERIA;SOACHA;;
1812;DROGUERIA SAN VICENTE;DROGUERIA;MEDELLIN;D569;
1338;SUPERMERCADO FUNZA CALLE 15;SUPERMERCADO;FUNZA;S116;Supermercado Funza Calle 15
1826;DROGUERIA HOME SENTRY CALI;DROGUERIA;CALI;D583;
2033;DROGUERIA ARA TUNJA CENTRO;DROGUERIA;TUNJA;;
1341;SUPERMERCADO NORTH POINT;SUPERMERCADO;BOGOTA;S119;Supermercado North Point
1819;DROGUERIA ILARCO;DROGUERIA;BOGOTA;;
1876;DROGUERIA SURA CALLE 100;DROGUERIA;BOGOTA;;
2032;DROGUERIA ARA MINUTO DE DIOS;DROGUERIA;BOGOTA;;
2030;DROGUERIA ARA CENTUM;DROGUERIA;BOGOTA;;
2031;DROGUERIA ARA PARQUE ENGATIVA;DROGUERIA;BOGOTA;;
1885;DROGUERIA IND CHIQUINQUIRA;DROGUERIA;CHIQUINQUIRA;;
1871;DROGUERIA PREMIUM PLACE;DROGUERIA;BARRANQUILLA;;
1886;DROGUERIA CHICO CALLE 94;DROGUERIA;BOGOTA;;
1996;DROGUERIA CLINICA CALLE 100;DROGUERIA;BOGOTA;;
1887;DROGUERIA LAS CAMELIAS;DROGUERIA;BOGOTA;;
1867;DROGUERIA LA HERRADURA;DROGUERIA;BOGOTA;;
1862;DROGUERIA EL EDEN;DROGUERIA;BOGOTA;;
1875;DROGUERIA VILLA DEL RIO;DROGUERIA;BOGOTA;;
1373;SUPERMERCADO CALATRAVA;SUPERMERCADO;BOGOTA;S138;Tienda Suba Calatrava
1378;SUPERMERCADO CHIA;SUPERMERCADO;CHIA;S143;Supermercado Chia
1376;SUPERMERCADO GACHANCIPA;SUPERMERCADO;GACHANCIPA;S141;Supermercado Gachancipa
2104;DROGUERIA IMBANACO;DROGUERIA;BOGOTA;;
1998;DROGUERIA COUNTRY CLL82;DROGUERIA;BOGOTA;;
2122;DROGUERIA LLANO GRANDE PALMIRA;DROGUERIA;PALMIRA;;
2119;DROGUERIA BOCHALEMA;DROGUERIA;CALI;;
2139;DROGUERIA MATUNA;DROGUERIA;CARTAGENA;;
2151;DROGUERIA VIA65;DROGUERIA;BARRANQUILLA;;
2145;DROGUERIA EL RODADERO;DROGUERIA;SANTA MARTA;;
2142;DROGUERIA FABRICATO;DROGUERIA;MEDELLIN;;
2152;DROGUERIA SANTAFE DE ANTIOQUIA;DROGUERIA;MEDELLIN;;
2140;DROGUERIA ZONA 41;DROGUERIA;BOGOTA;;
2135;DROGUERIA MIXTA GIRON;DROGUERIA;GIRON;;
2144;DROGUERIA CROSS BUSSINES CENTER;DROGUERIA;MEDELLIN;;
2138;DROGUERIA BUGA BASILICA;DROGUERIA;BUGA;;
2215;DROGUERIA METROCENTRO;DROGUERIA;BARRANQUILLA;;
2216;DROGUERIA PLAZA DEL SOL;DROGUERIA;BARRANQUILLA;;
1584;DROGUERIA MIXTA NUEVA CANDELARIA;DROGUERIA;MEDELLIN;;
2180;DROGUERIA NODO KENNEDY;DROGUERIA;BOGOTA;;
1693;SF PORTAL CIUDADELA;FARMACIA;;;
1722;DROGUERIA AVE CRA 14;DROGUERIA;;D479;
1726;DROG. PRADO ALTO;DROGUERIA;;;
1325;SUP. MOCAWA;SUPERMERCADO;;;
1730;Drogueria Restrepo 2;DROGUERIA;;;
1732;DROG.ARMENIA NORTE;DROGUERIA;;;
1735;SF GIRARDOT;FARMACIA;;;
1745;DROG. PAIPA MIXTA;DROGUERIA;;D502;
1740;DROG SALITRE PLAZA 2;DROGUERIA;;;
1742;FARM PLAZA CENTRAL;FARMACIA;;;
7028;TIENDA ECCOMERCE SHAIO 1663;TIENDA;;;
1326;TIENDA TOLEMAIDA;TIENDA;;S104;Supermercado Tolemaida
1755;DROGUERIA CASA BLACA;DROGUERIA;;D512;
1763;DROGUERIA VILLA DE LEYVA;DROGUERIA;;D521;
1770;DROGUERIA TITAN PLAZA;DROGUERIA;BOGOTA;;
1337;SUP_ALTOS DE LA SABANA;SUPERMERCADO;BOGOTA;S115;Supermercado Altos De La Sabana
1778;DROGUERIA GRAN ESTACION ESFERA;DROGUERIA;BOGOTA;;
1779;DROGUERIA ALCARAVAN;DROGUERIA;YOPAL;;
1810;DROGUERIA VIVA ENVIGADO;DROGUERIA;ENVIGADO;;
1330;SUPERMERCADO FONTIBON EL CARMEN;SUPERMERCADO;BOGOTA;S108;Supermercado Fontibon El Carmen
1333;SUPERMERCADO GIRARDOT FERROCARRIL;SUPERMERCADO;GIRARDOT;S111;Supermercado Girardot La Carrilera
1786;DROGUERIA INNOVO DUITAMA;DROGUERIA;DUITAMA;;
1752;DROGUERIA CITY MEDICA;DROGUERIA;MEDELLIN;;
1801;DROGUERIA ENSUEÑO;DROGUERIA;BOGOTA;;
1806;DROGUERIA LA ESTRELLA;DROGUERIA;MEDELLIN;D563;
2026;DROGUERIA ARA SAN PEDRO ALEJANDRINO;DROGUERIA;IBAGUE;;
2018;DROGUERIA ARA ESPINAL;DROGUERIA;ESPINAL;;
2002;DROGUERIA ARA EL TREBOL;DROGUERIA;MOSQUERA;DA02;
2013;DROGUERIA ARA SUBA LAS FLORES;DROGUERIA;BOGOTA;;
2011;DROGUERIA ARA JJ CAMACHO;DROGUERIA;TUNJA;;
2010;DROGUERIA ARA CAJICA;DROGUERIA;CAJICA;;
2016;DROGUERIA ARA LA VENTA;DROGUERIA;FUSAGASUGA;;
1828;DROGUERIA MERQUEO;DROGUERIA;BOGOTA;;
1336;SUPERMERCADO ARMENIA;SUPERMERCADO;ARMENIA;S114;Supermercado Armenia Centro
2017;DROGUERIA ARA RICAURTE;DROGUERIA;RICAURTE;;
2012;DROGUERIA ARA MONIQUIRA;DROGUERIA;MONIQUIRA;DA12;
1799;DROGUERIA LA ROSITA;DROGUERIA;BUCARAMANGA;D556;
2022;DROGUERIA ARA FUSA CALLE8;DROGUERIA;BOGOTA;;
1754;DROGUERIA UNICENTRO NEIVA;DROGUERIA;NEIVA;;
1811;DROGUERIA VIVA LAURELES;DROGUERIA;BOGOTA;;
1820;DROGUERIA MULTIPLAZA;DROGUERIA;BOGOTA;;
1342;SUPERMERCADO TUNJA;SUPERMERCADO;TUNJA;S120;Supermercado Casa Vieja Tunja
1809;DROGUERIA EL TESORO2;DROGUERIA;MEDELLIN;;
1823;DROGUERIA UNICENTRO2;DROGUERIA;BOGOTA;;
1818;DROGUERIA ISLA NATURA;DROGUERIA;CAJICA;;
1340;SUPERMERCADO PALATINO;SUPERMERCADO;BOGOTA;S118;Supermercado Palatino
1829;DROGUERIA BARRANCA;DROGUERIA;BARRANCA;D589;
1857;DROGUERIA MERQUEO MEDELLIN;DROGUERIA;MEDELLIN;;
1832;DROGUERIA ACROPOLIS;DROGUERIA;BUCARAMANGA;;
1335;SUPERMERCADO ACACIAS;SUPERMERCADO;META;S113;Supermercado Acacias
1842;DROGUERIA GUARNE;DROGUERIA;MEDELLIN;D602;
1499;DROGUERIA LA CEJA;DROGUERIA;MEDELLIN;;
1837;DROGUERIA ARKADIA;DROGUERIA;MEDELLIN;;
1348;SUPERMERCADO JUAN PABLO II;SUPERMERCADO;BOGOTA;S126;Supermercado Colsubsidio Juan Pablo Ii
1860;DROGUERIA MACEDONIA;DROGUERIA;MEDELLIN;;
1863;DROGUERIA UNIANDES;DROGUERIA;BOGOTA;;
1813;DROGUERIA SAN VICENTE RIONEGRO;DROGUERIA;MEDELLIN;;
1865;DROGUERIA SERREZUELA;DROGUERIA;CARTAGENA;;
1825;DROGUERIA UNICENTRO TUNJA;DROGUERIA;TUNJA;;
1866;DROGUERIA BUGA PLAZA;DROGUERIA;BUGA;;
1363;SUPERMERCADO 20 DE JULIO;SUPERMERCADO;BOGOTA;S124;Supermercado 20 De Julio
1991;DROGUERIA CLINICA CALLE 127;DROGUERIA;BOGOTA;;
1869;DROGUERIA CLINICA DEL CAFE ;DROGUERIA;;;
1256;SUP. CHICALA;SUPERMERCADO;;S035;Supermercado Chicala
1351;FARM. ZIPAQUIRA;FARMACIA;;D023;
1415;FARM. STTUTGART;FARMACIA;;D093;
1452;FARM. QUINTA CAMACHO;FARMACIA;;D165;
1438;FARM. MARLY;FARMACIA;;D120;
7910;FARM. CAPILLA;FARMACIA;;D015;
1419;FARM. LAGO;FARMACIA;;D098;
1465;FARM. DIS. CASA NEIVA;FARMACIA;;D178;
8310;FARM. CEDRITOS;FARMACIA;;D010;
1450;FARM. PREMIUM;FARMACIA;;D133;
1386;FARM. FACATATIVA;FARMACIA;;D057;
1431;DROGUERIA AVENIDA AMERICAS;FARMACIA;BOGOTA;D055;
1881;DROGUERIA OCEAN TOWER;DROGUERIA;;;
1993;DROGUERIA MIXTA UNION;DROGUERIA;MEDELLIN;;
1367;TIENDA RAMADA;TIENDA;BOGOTA;S133;Tienda Colsubsidio Ramada Zona Franca
1371;TIENDA INFINITUM;TIENDA;BOGOTA;S136;Tienda Infinitum
1368;SUPERMERCADO FUSA EL JARDIN;SUPERMERCADO;FUSA;S134;Supermercado Fusagasuga Jardin
1861;DROGUERIA CARDIO INFANTIL;DROGUERIA;BOGOTA;;
1370;SUPERMERCADO MELGAR;SUPERMERCADO;MELGAR;S135;Supermercado Melgar
1831;DROGUERIA SERENA DEL MAR;DROGUERIA;CARTAGENA;;
1377;SUPERMERCADO CHOCONTA;SUPERMERCADO;CHOCONTA;S142;Supermercado Choconta
1883;DROGUERIA SAN PEDRO;DROGUERIA;NEIVA;;
2127;DROGUERIA SHAIO;DROGUERIA;BOGOTA;;
1375;SUPERMERCADO SAMACA;SUPERMERCADO;SAMACA;S140;Supermercado Samaca
2038;DROGUERIA ARA CONCEPCION;DROGUERIA;BARRANQUILLA;;
