STORE;STORENAME;STORETYPE;CIUDAD;LOGISTICCENTER;Nombre
2214;DROGUERIA MURILLO;DROGUERIA;BARRANQUILLA;;
1691;DROGUERIA GRAN PLAZA SOACHA;DROGUERIA;SOACHA;;
2218;DROGUERIA MIXTA DE LA CUESTA;DROGUERIA;;;
2174;DROGUERIA UNISUR;DROGUERIA;SOACHA;;
2158;DROGUERIA VALE DE LILI;DROGUERIA;CALI;;
2148;DROGUERIA PLAZA CAICEDO;DROGUERIA;CALI;;
1911;DROGUERIA PLAZA DE LA VILLA;DROGUERIA;SOGAMOSO;;
2175;DROGUERIA CORFERIAS;DROGUERIA;BOGOTA;;
2178;DROGUERIA PLAZA DLE RIO;DROGUERIA;APARTADO;;
1459;DROGUERIA PLAZA DE LA VILLA;DROGUERIA;;;
2190;DROGUERIA EL BOSQUE CALLE 134;DROGUERIA;BOGOTA;;
2202;DROGUERIA EL SENADO;DROGUERIA;BOGOTA;;
2183;DROGUERIA MIXTA EL RETIRO;DROGUERIA;ANTIOQUIA;;
2171;DROGUERIA UNICENTRO CALI 2;DROGUERIA;CALI;;
2160;DROGUERIA UNICENTRO CALLE 5;DROGUERIA;CALI;;
2149;DROGUERIA VITTA;DROGUERIA;BOGOTA;;
2173;DROGUERIA PARQUE ALEGRA;DROGUERIA;BARRANQUILLA;;
1807;DROGUERIA MIXTA 7 DE AGOSTO;DROGUERIA;BOGOTA;;
2211;DROGUERIA OVIEDO 2;DROGUERIA;MEDELLIN;;
3009;SUPERMERCADO ESPECTADOR;SUPERMERCADO;BOGOTA;S154;Supermercado El Espectador
2209;DROGUERIA SAN DIEGO;DROGUERIA;MEDELLIN;;
1588;DROGUERIA GUAYABAL;DROGUERIA;MEDELLIN;;
3000;SUPERMERCADO LA CALERA GARDETS;SUPERMERCADO;CALERA;S145;Supermercado Calera Gardens
2203;DROGUERIA MIXTA MESITAS;DROGUERIA;MESITAS;;
2208;DROGUERIA PARQUE FUNDADORES;DROGUERIA;ARMENIA;;
2199;DROGUERIA MIXTA ENVIGADO;DROGUERIA;ENVIGADO;;
2164;D_VALLE_LILI_CLL42;DROGUERIA;CALI;;
3003;SUPERMERCADO EL GUAMO;SUPERMERCADO;GUAMO;;
2189;DROGUERIA MIXTA SANTA TERESITA;DROGUERIA;CALI;;
2230;DROGUERIA MIXTA MADRID;DROGUERIA;MADRID;;
2179;NODO DOMICILIO CHAPINERO;DROGUERIA;BOGOTA;;
1848;DROGUERIA MIXTA CALLE 27;DROGUERIA;BUCARAMANGA;;
1843;DROGUERIA MIXTA VILLETA;DROGUERIA;VILLETA;;
2229;DROGUERIA CALLE 14 DUITAMA;DROGUERIA;DUITAMA;;
2204;DROGUERIA BODEGA PRADO;DROGUERIA;BOGOTA;;
1498;DROGUERIA MIXTA ITAGUI;DROGUERIA;ITAGUI;;
1750;DROGUERIA MIXTA BOSA;DROGUERIA;BOGOTA;;
1582;DROGUERIA MIXTA APARTADO;DROGUERIA;APARTADO;;
2181;DROGUERIA MIXTA MANIZALES;DROGUERIA;MANIZALES;;
2191;DROGUERIA MIXTA GUARNE;DROGUERIA;MEDELLIN;;
